feature,importance
pm2_5,27.55538584664241
ozone,6.959238675532578
relative_humidity_2m,0.6253973549606477
pm10,0.6131448231327647
temperature_2m,0.4758684049100342
pm10_rolling_max_24h,0.47529532376510264
pm2_5_rolling_max_24h,0.4734638283626814
pm2_5_lag_24h,0.4676244859544406
sulphur_dioxide,0.4673319957485131
pm2_5_rolling_mean_24h,0.46727392730747985
carbon_monoxide,0.4667240862454184
nitrogen_dioxide,0.4644881329678792
pm10_rolling_mean_24h,0.46163960688624434
pm2_5_rolling_std_24h,0.4593378184245267
pm10_lag_24h,0.4588026145075673
pm10_lag_1h,0.4546662969507622
pm2_5_lag_1h,0.44604049555200154
hour_sin,0.42438417375818804
