feature,importance
pm2_5,24.569340929516564
ozone,15.946598119378395
pm10,1.371971952214313
sulphur_dioxide,0.06725270827188815
hour_sin,0.05451182261698629
pm2_5_lag_1h,0.05409711513845799
carbon_monoxide,0.04920614427655813
pm2_5_rolling_std_24h,0.03793167651731966
nitrogen_dioxide,0.037040060976214144
pm10_lag_1h,0.02456736115538483
relative_humidity_2m,0.024186348570340906
pm10_lag_24h,0.02308159065656697
pm2_5_lag_24h,0.021709101031220673
pm2_5_rolling_max_24h,0.020094471012301194
pm2_5_rolling_mean_24h,0.017218298689218828
temperature_2m,0.016120952888924622
pm10_rolling_mean_24h,0.00918048668188775
pm10_rolling_max_24h,0.006131488782659519
